power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components,avg_min_distance_jammers
13.5,N/A,Fail,15625,15624,1,63,15562,15621,True,6,"{'Component_1': 15545, 'Component_2': 4, 'Component_3': 3, 'Component_4': 3, 'Component_5': 3, 'Component_6': 4}",N/A
13.0,N/A,Fail,15625,15624,1,50,15575,15621,True,4,"{'Component_1': 15566, 'Component_2': 3, 'Component_3': 3, 'Component_4': 3}",N/A
4.5,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
7.0,N/A,Pass,15625,15624,1,10,15615,15621,True,1,{'Component_1': 15615},N/A
-1.5,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
8.0,N/A,Pass,15625,15624,1,10,15615,15621,True,1,{'Component_1': 15615},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
1.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
-1.0,209.88091861815357,Pass,15625,15623,2,2,15623,15618,True,1,{'Component_1': 15623},209.88091861815357
10.0,N/A,Pass,15625,15624,1,13,15612,15621,True,1,{'Component_1': 15612},N/A
13.5,N/A,Pass,15625,15624,1,41,15584,15621,True,1,{'Component_1': 15584},N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
13.0,N/A,Pass,15625,15624,1,44,15581,15621,True,1,{'Component_1': 15581},N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
4.5,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.0,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
8.0,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
-1.5,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
