power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components
0.1,13.558240290131751,Fail,1000,958,42,113,887,873,True,3,"{'Component_1': 82, 'Component_2': 723, 'Component_3': 82}"
0.1,13.604743309008006,Fail,1000,960,40,110,890,879,True,4,"{'Component_1': 453, 'Component_2': 358, 'Component_3': 2, 'Component_4': 77}"
0.1,13.316660269134072,Fail,1000,958,42,114,886,873,True,2,"{'Component_1': 79, 'Component_2': 807}"
0.1,13.777680613919403,Fail,1000,963,37,98,902,888,True,2,"{'Component_1': 85, 'Component_2': 817}"
0.1,14.956475601377258,Pass,1000,968,32,86,914,903,True,1,{'Component_1': 914}
0.1,16.392449775771336,Pass,1000,970,30,79,921,909,True,1,{'Component_1': 921}
0.1,16.38187942018503,Fail,1000,974,26,71,929,921,True,2,"{'Component_1': 843, 'Component_2': 86}"
0.1,16.386290954139568,Pass,1000,973,27,72,928,918,True,1,{'Component_1': 928}
0.1,15.27217573425666,Pass,1000,974,26,70,930,921,True,1,{'Component_1': 930}
0.1,17.49348945071477,Pass,1000,980,20,52,948,939,True,1,{'Component_1': 948}
0.1,16.853809138219216,Pass,1000,975,25,66,934,924,True,1,{'Component_1': 934}
